"Age","Sex","Job","Housing","Saving.accounts","Checking.account","Duration","Purpose","Credit.amount"
67,"male",2,"own","quite rich","little",6,"radio/TV",1169
49,"male",1,"own","little","little",12,"education",2096
45,"male",2,"free","little","little",42,"furniture/equipment",7882
53,"male",2,"free","little","little",24,"car",4870
35,"male",1,"free","moderate","moderate",36,"education",9055
35,"male",3,"rent","little","moderate",36,"car",6948
61,"male",1,"own","rich","rich",12,"radio/TV",3059
28,"male",3,"own","little","moderate",30,"car",5234
25,"female",2,"rent","little","moderate",12,"car",1295
22,"female",2,"own","little","moderate",12,"radio/TV",1567
28,"female",2,"rent","little","little",15,"car",1403
32,"female",1,"own","moderate","little",24,"radio/TV",1282
53,"male",2,"own","rich","rich",24,"radio/TV",2424
25,"male",2,"own","little","little",30,"business",8072
31,"male",2,"own","quite rich","moderate",24,"radio/TV",3430
48,"male",2,"own","little","little",9,"car",2134
48,"male",1,"rent","little","little",10,"car",2241
44,"male",2,"own","moderate","moderate",12,"car",1804
26,"male",2,"own","little","rich",10,"furniture/equipment",2069
36,"male",1,"own","little","little",6,"furniture/equipment",1374
39,"male",1,"own","little","moderate",6,"radio/TV",426
42,"female",2,"rent","rich","rich",12,"radio/TV",409
34,"male",2,"own","little","moderate",7,"radio/TV",2415
63,"male",2,"own","little","little",60,"business",6836
36,"male",2,"own","rich","moderate",18,"business",1913
30,"male",2,"own","moderate","moderate",18,"car",5866
57,"male",1,"rent","little","little",12,"business",1264
25,"male",1,"own","little","moderate",45,"radio/TV",4746
37,"male",2,"own","little","rich",18,"radio/TV",2100
37,"male",2,"own","little","rich",10,"domestic appliances",1225
24,"male",2,"own","little","moderate",9,"radio/TV",458
30,"male",3,"own","quite rich","moderate",30,"radio/TV",2333
26,"male",2,"own","quite rich","moderate",12,"radio/TV",1158
44,"male",1,"own","little","moderate",18,"repairs",6204
58,"female",1,"free","little","little",48,"car",6143
35,"female",3,"own","little","rich",11,"car",1393
39,"male",2,"own","quite rich","moderate",36,"radio/TV",2299
23,"female",0,"rent","quite rich","little",6,"car",1352
28,"female",2,"own","moderate","moderate",12,"radio/TV",2073
29,"male",1,"own","little","moderate",24,"furniture/equipment",2333
30,"male",3,"own","little","moderate",27,"car",5965
25,"male",2,"own","little","rich",12,"radio/TV",1262
31,"male",2,"own","little","little",18,"car",3378
57,"male",2,"free","little","moderate",36,"car",2225
26,"male",1,"own","little","little",6,"car",783
52,"male",3,"own","quite rich","moderate",12,"radio/TV",6468
31,"female",2,"own","little","moderate",36,"radio/TV",9566
23,"female",3,"own","little","rich",18,"car",1961
27,"male",2,"own","little","moderate",9,"business",1391
50,"male",2,"own","quite rich","moderate",15,"radio/TV",1537
61,"male",3,"free","little","moderate",36,"business",1953
25,"male",2,"own","little","moderate",48,"business",14421
26,"female",2,"own","little","little",24,"radio/TV",3181
48,"male",2,"own","quite rich","moderate",27,"repairs",5190
29,"female",2,"own","little","rich",12,"radio/TV",2171
37,"male",2,"free","little","moderate",36,"education",1819
46,"male",1,"rent","quite rich","little",7,"radio/TV",730
51,"male",3,"free","little","little",8,"vacation/others",1164
41,"female",1,"own","little","moderate",42,"business",5954
40,"male",3,"own","little","little",36,"education",1977
66,"male",3,"free","little","little",12,"car",1526
34,"male",2,"own","little","little",42,"radio/TV",3965
51,"male",2,"own","little","moderate",11,"radio/TV",4771
39,"male",1,"own","little","little",54,"car",9436
44,"female",2,"own","little","moderate",24,"radio/TV",5943
47,"male",2,"own","quite rich","moderate",15,"radio/TV",1213
24,"female",1,"rent","moderate","moderate",18,"business",1568
58,"female",1,"own","little","little",24,"vacation/others",1755
27,"female",2,"own","little","moderate",18,"furniture/equipment",1295
47,"male",2,"free","moderate","moderate",36,"education",12612
30,"male",3,"own","moderate","little",18,"car",2249
33,"female",1,"own","little","rich",12,"radio/TV",797
36,"male",2,"own","little","moderate",36,"radio/TV",2337
36,"male",3,"rent","moderate","moderate",20,"car",7057
41,"male",1,"rent","moderate","moderate",24,"car",1469
24,"male",2,"rent","little","moderate",36,"radio/TV",2323
24,"female",2,"own","little","rich",6,"radio/TV",932
26,"male",2,"rent","moderate","moderate",12,"car",2445
39,"male",3,"own","little","moderate",24,"vacation/others",11938
39,"male",3,"own","little","moderate",18,"car",6458
32,"male",2,"own","little","moderate",12,"car",6078
30,"female",2,"own","little","little",24,"furniture/equipment",7721
35,"male",2,"own","quite rich","moderate",14,"business",1410
31,"male",2,"own","moderate","moderate",6,"business",1449
23,"female",2,"rent","little","rich",15,"education",392
28,"male",1,"rent","little","moderate",18,"car",6260
25,"female",2,"own","little","little",36,"car",7855
47,"male",2,"own","quite rich","moderate",48,"radio/TV",3578
30,"female",3,"own","little","little",42,"radio/TV",7174
27,"female",2,"rent","little","little",10,"furniture/equipment",2132
23,"female",2,"own","quite rich","little",33,"furniture/equipment",4281
25,"female",2,"own","little","little",21,"radio/TV",1835
41,"female",3,"rent","little","moderate",24,"car",3868
24,"male",1,"rent","little","little",12,"furniture/equipment",1768
27,"female",2,"rent","moderate","moderate",18,"furniture/equipment",1924
30,"male",2,"own","little","moderate",12,"repairs",639
29,"female",2,"own","little","little",12,"car",3499
24,"female",2,"own","moderate","moderate",48,"car",8487
29,"male",2,"own","little","little",36,"education",6887
47,"male",2,"free","little","little",18,"furniture/equipment",1984
21,"female",2,"own","moderate","moderate",60,"radio/TV",10144
35,"male",2,"own","quite rich","moderate",15,"radio/TV",2728
44,"female",1,"rent","little","rich",12,"radio/TV",1881
27,"male",0,"own","rich","rich",6,"car",709
30,"female",3,"own","little","moderate",36,"radio/TV",4795
22,"male",2,"own","little","little",18,"furniture/equipment",2462
39,"female",2,"own","little","little",6,"car",860
28,"male",2,"own","little","little",36,"furniture/equipment",5371
46,"male",2,"own","rich","rich",18,"radio/TV",1582
42,"male",2,"free","moderate","moderate",6,"radio/TV",1346
24,"male",2,"own","little","rich",36,"radio/TV",5848
29,"female",2,"rent","rich","moderate",24,"car",7758
20,"female",2,"rent","little","little",12,"furniture/equipment",1282
38,"male",2,"own","moderate","moderate",24,"car",3512
34,"male",1,"own","little","moderate",6,"radio/TV",1898
30,"female",2,"own","little","little",18,"car",1055
36,"male",2,"own","quite rich","moderate",15,"domestic appliances",1262
70,"male",3,"free","little","moderate",10,"car",7308
36,"male",2,"own","quite rich","moderate",36,"car",909
33,"female",2,"own","little","little",18,"furniture/equipment",1131
20,"female",2,"own","rich","moderate",11,"furniture/equipment",1577
31,"male",2,"own","little","moderate",24,"business",1935
33,"male",2,"rent","little","little",15,"car",950
26,"female",2,"own","little","rich",12,"furniture/equipment",763
34,"female",3,"own","little","moderate",24,"furniture/equipment",2064
33,"male",2,"own","little","moderate",8,"radio/TV",1414
53,"female",3,"own","moderate","moderate",30,"car",7485
42,"male",2,"own","little","little",12,"furniture/equipment",2577
52,"male",2,"own","quite rich","little",6,"radio/TV",338
31,"male",3,"rent","little","little",12,"radio/TV",1963
65,"male",2,"own","little","little",21,"car",571
30,"male",3,"own","little","moderate",36,"business",4455
36,"male",2,"own","little","moderate",18,"car",884
74,"female",3,"free","little","moderate",9,"car",5129
20,"male",2,"own","moderate","little",12,"radio/TV",674
33,"female",2,"own","little","moderate",18,"furniture/equipment",3244
54,"male",3,"own","rich","moderate",24,"business",4591
34,"male",1,"free","moderate","moderate",48,"business",3844
36,"male",2,"own","little","moderate",27,"business",3915
29,"male",2,"rent","little","moderate",6,"radio/TV",2108
34,"female",3,"own","little","moderate",9,"education",1501
40,"male",3,"own","little","moderate",18,"furniture/equipment",4297
52,"male",2,"own","quite rich","moderate",9,"education",936
27,"male",1,"own","little","little",12,"car",1168
26,"male",2,"own","little","moderate",27,"business",5117
21,"male",2,"rent","little","little",12,"education",902
38,"male",1,"own","little","little",12,"car",1495
38,"male",3,"free","little","little",30,"car",10623
43,"male",2,"own","little","little",12,"furniture/equipment",1935
21,"male",1,"own","little","little",24,"business",6568
55,"male",2,"own","rich","moderate",12,"car",1413
33,"male",2,"own","little","moderate",9,"radio/TV",3074
45,"female",1,"own","quite rich","moderate",36,"radio/TV",3835
50,"male",2,"own","little","little",27,"business",5293
66,"male",3,"own","little","rich",30,"business",1908
51,"male",2,"own","quite rich","moderate",36,"radio/TV",3342
39,"female",1,"own","quite rich","moderate",6,"education",932
31,"male",2,"own","little","little",18,"business",3104
23,"male",2,"own","little","rich",36,"radio/TV",3913
24,"male",1,"rent","little","little",24,"furniture/equipment",3021
64,"female",2,"own","little","rich",10,"car",1364
26,"male",1,"own","little","moderate",12,"radio/TV",625
23,"female",2,"rent","little","little",12,"education",1200
30,"male",2,"own","little","rich",12,"radio/TV",707
30,"male",2,"own","little","little",15,"car",4657
27,"male",2,"own","little","moderate",36,"repairs",2613
27,"male",2,"own","rich","moderate",48,"radio/TV",10961
53,"male",3,"free","little","little",12,"furniture/equipment",7865
